date,actual,forecast,model
2023-06-20,133.05,131.76571428571427,moving_average
2023-06-21,134.51,131.76571428571427,moving_average
2023-06-22,125.49,131.76571428571427,moving_average
2023-06-23,130.29,131.76571428571427,moving_average
2023-06-24,133.1,131.76571428571427,moving_average
2023-06-25,128.94,131.76571428571427,moving_average
2023-06-26,119.13,131.76571428571427,moving_average
2023-06-27,128.79,131.76571428571427,moving_average
2023-06-28,128.7,131.76571428571427,moving_average
2023-06-29,128.26,131.76571428571427,moving_average
2023-06-30,148.64,131.76571428571427,moving_average
2023-07-01,145.47,131.76571428571427,moving_average
2023-07-02,154.09,131.76571428571427,moving_average
2023-07-03,145.75,131.76571428571427,moving_average
2023-07-04,148.19,131.76571428571427,moving_average
2023-07-05,156.63,131.76571428571427,moving_average
2023-07-06,151.5,131.76571428571427,moving_average
2023-07-07,150.95,131.76571428571427,moving_average
2023-07-08,149.15,131.76571428571427,moving_average
2023-07-09,156.18,131.76571428571427,moving_average
2023-07-10,155.02,131.76571428571427,moving_average
2023-07-11,155.6,131.76571428571427,moving_average
2023-07-12,152.27,131.76571428571427,moving_average
2023-07-13,156.2,131.76571428571427,moving_average
2023-07-14,156.31,131.76571428571427,moving_average
2023-07-15,134.24,131.76571428571427,moving_average
2023-07-16,136.08,131.76571428571427,moving_average
2023-07-17,127.91,131.76571428571427,moving_average
2023-07-18,136.03,131.76571428571427,moving_average
2023-07-19,137.27,131.76571428571427,moving_average
